Sigla,Código,City,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL,2702702,Feliz Deserto,0.000172309,0.000798244,0.000981777,0,2.931257818,11.54317331,64.47780982,3347.7561,45174.5,118035.43,148818.29,138708.64,183465,173631,228054,317539,814599.11,1196066.77,1212498.33,2169960.64,3008545.95,2303410.46,2345333.52,1949985.15,2260411.76,2283042.31,2537479.11,2844441.81,3208736.55,3559563.93,3790483.81,3711319
AL,2702801,Flexeiras,0.001308561,0.003142755,0.005038642,0,9.650880146,38.04110909,258.7910537,10962.7014,130085.1,346948.23,352111.69,362691.85,528822,404970,449561,587062,691802,720671,780340,796807,1080313,1244295,1395720.11,1526272,1852832.18,2170824.94,,,,,,
AL,2702900,Girau do Ponciano,0.000336579,0.001216423,0.00215372,0,4.517201964,17.74321509,196.6637744,7200.0017,88853.5,257435.86,334690.1,372619.04,,,473902.11,440742.66,557163.49,660784.55,787914.52,658021.46,997582.66,1200925.54,1427759.76,1549915.53,2932510.99,3152519.32,3061831.04,2706236,2548504.31,2640169.17,3834877.17,4650973
AL,2703007,Ibateguara,0.000395438,0.001125359,0.001746981,0,3.687233055,55.30357029,231.0746457,5265.4631,63757,0,263722.7199,227613.4,,,381676,457802.04,387430.53,451485.52,598929.97,807451.87,773095.68,681652.3199,1021191.28,1044448.76,1629357.44,2191546.24,1915572.26,1655562.6,2193663.11,2460774.88,3006395.38,3359511
AL,2703106,Igaci,0.000374579,0.000890916,0.001630584,0,3.467630546,13.64635571,125.0592998,5972.6467,135518.7,225990.11,225582.53,,321928.7,267940.35,313615.03,401128.58,375849.28,440377.59,610286,679139,838068,934275,1098044.77,1157964.58,1399962.92,,1718425.44,1915502.62,2116202.31,2333092.31,3269420.82,3505621.38
AL,2703205,Igreja Nova,0.000442592,0.002048677,0.006224999,0,7.891143709,30.98186764,241.1716887,10319.7067,136768.8,245207.38,265202.48,609824.03,1002878.73,871183.07,1204939.99,1005200.74,1100060.58,1593648.27,2585149.08,2410297.01,3122447.76,3428508.3,3935619.11,3849533.15,5573471.78,5452896.75,4398391.99,6322078.78,8337361.12,7586838.87,7530159.82,7832919
AL,2703304,Inhapi,0.000121741,0.000577261,0.002078024,0,2.576409964,19.25294604,164.4656223,4741.2383,144894.9,130065.65,217564.94,186809.73,,,309803.55,377003.86,407640.46,517365.9,515924.44,,,,,1153166.71,1415269.07,,,1831695,2037435.07,2125030.38,3032761.24,3256546
AL,2703403,Jacaré dos Homens,8.13E-05,0.000309075,0.000782809,0,1.248306873,4.930854291,75.59638029,3119.7312,55304.8,173137.26,150180.1099,,309498,252573,324475,390341,375922.7,490771.79,542979.91,582899.71,755518.27,783354.54,887620.2,958251.9,1178658.85,1467980.65,1472895.92,1465077.1,1524394.27,1481825.75,2113655.45,2526109
AL,2703502,Jacuípe,0.000786072,0.001897533,0.004786791,0,2.014976836,8.392257309,81.23617495,3788.7258,44259.7,0,0,194956.4,,,754735.26,1058104.15,589219.38,987777.29,516161.7,607200.5,711018.88,742517,879253.7,899052.2,1056728.61,1244414.74,1499423.52,1610489.93,1728227.76,1839173.9,2300384.2,2576848.63
AL,2703601,Japaratinga,0.0002584,1.58E-05,0.00240885,0,8.559460836,33.77371513,134.9236993,5798.5959,54327.2,0,278800.89,399528.24,,,,406298,414472.64,499349.45,539216.63,,622444.88,743534.85,755921.58,778134.93,,,,1551835.51,1572436.67,1584965.05,,
AL,2703700,Jaramataia,2.84E-05,0.000218238,0.000453615,0,1.0564212,4.200958073,54.21331113,2741.3257,47290.6,118349.84,93990.57,134976.14,,,207123,261845,302263.19,368141.72,444252.93,494662.56,635539.24,651370.78,801761.63,840485.6899,1001220.38,1073720.82,1173136.3,1250539,,,,2072249
AL,2703759,Jequiá da Praia,,,,,,,,,,,,,,,,1145998,1353596.23,2272567.78,2865053.17,2691141.4,2932106.13,3554585.27,3858153.04,3247545.19,3455929.32,4057428.88,,5973852,10240762.45,10377107.01,11175935.08,12519577
AL,2703809,Joaquim Gomes,0.001083662,0.00349183,0.008668515,0,18.43566371,72.76794884,319.7569881,0,162010.5,347448.77,240059.8,277730.93,329643,392420,603496,596279,770503,873941,1167295.55,1235701.43,1065184.89,1053918.79,1162510.74,1171405.7,1391692.66,1512151.84,1805981.67,,1058338.9,1989589.1,,3815480
AL,2703908,Jundiá,0.00138378,0.003358507,0.008826966,0,3.453929455,13.43617771,134.1988267,5733.0577,55662.3,159545.2,205549.52,150677.42,263037,374473,432037,541355,456983.32,395068.84,465198.26,474789.27,623890.01,723103.48,886201.43,967345.64,1143182.35,1223235.07,1411412.94,1514306.42,1661064.1,1831787.37,2146640.15,2126671
AL,2704005,Junqueiro,0.002634628,0.006809406,0.00917564,0,12.91298855,49.44539967,566.0862797,18701.3698,190663.1,447600.63,474832.46,440489.77,471868.04,533705.29,657383.48,579746.79,731601.38,1116854.76,1297028.7,1192618.23,1635502.21,2051175.09,2051016.57,1826766.14,1985239.81,2562554.69,2723664.89,3366483,,,,
AL,2704104,Lagoa da Canoa,0.000380268,0.001168654,0.002085398,0,2.716561891,10.59701229,106.4684244,6014.0168,74995.3,315406.06,367935.57,260655.16,235341.75,256731.3,338073.63,386381.49,457834.16,512955.91,599903.81,598419.55,716680.08,881628.29,951233.87,952423.05,1150020.98,1321861.09,,1505215,1752725.81,1979131.62,2342058.31,2610021
AL,2704203,Limoeiro de Anadia,0.000175975,0.001118081,0.001837363,0,4.394910618,17.30124342,200.1214434,0,105502.7,403218.12,489223.94,348224.54,379589.81,295855.93,418227.13,520370,589175.75,858164.35,1064637.14,937757.28,1123028.85,1366872.58,1491008.41,1522331.95,1757773.3,2046747.34,2410296.37,2807912.79,3394008.46,3381770.14,5864851.11,6905646
AL,2704302,Maceió,0.035759384,0.099204144,,0,0,0,0,781548.4309,10990884.8,27308594.66,33487022.83,37165980.59,35533529.19,33024157.06,37486465.6,52864336,53071629.48,56754359.4,66288543.89,74580832.81,94937052.66,105897395.4,121949552.7,133613720.9,172034413.8,189646347.5,200667567.8,205967863.5,215195131.4,224676509,246249971.8,244135165
AL,2704401,Major Isidoro,0.000342342,0.001080261,0.018176681,0,5.863321164,23.23296662,307.6147437,14389.1299,118253.9,166919.12,501469.74,300331.59,342870,306836,401695,481182,501096.59,624916.25,757633.76,831838.44,1004665.55,1134511.66,1309540.25,1271407.39,1470355.69,1677629.08,1825666.13,1908508,2393174.19,2690033.66,4096831.58,4341773.62
AL,2704500,Maragogi,0.000695809,0.001659359,0.004166683,0,6.833817673,26.96290662,163.6454356,6593.6226,84084.8,270278.69,291514.89,342885.42,372361.22,410501,550043.83,700817,779763.62,954933.92,1083410.64,936649,1218125.99,1236159.58,1611047.54,1625960.74,2022084.34,2518851.21,,3045188,3383144.37,3454510.8,6561856.98,7460077
AL,2704609,Maravilha,0.000275087,0.000659126,0.002724294,0,1.999216327,7.972207564,84.600664,3919.5333,87946.9,120387.59,145267,149458.34,230623.57,179246.42,343832.75,340646.25,374568.17,440955.63,530187.64,590297.05,757898.56,921915.3,957870.96,1002975.58,1190657.02,1300658.89,1408819.61,1556504,1918969.34,,,2558370
