Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL,2703007,Ibateguara,0.000139407,0.000411298,0.001143505,0.001763399,0.071783309,3.727008691,55.38233771,231.7829845,5265.5549,63757,0,263722.7199,231907.71,,,387369,463277.84,392556.16,458062.79,606149.47,820712.77,787877.1,714419.7099,1056959.71,1143192.68,1677007.5,2314868.69,1987328.08,1750441.78,2309129.45,2598140.21,3182107.83,3541211.6
AL,2703106,Igaci,0.000136889,0.000398498,0.000949106,0.001732395,0.047130546,3.558972036,14.44049015,128.6410212,5973.3185,135518.7,228779.29,233597.64,,350330.3,268230.73,313615.03,412297.12,389562.07,457898.74,633427,717850,868148,1011205,1178131.72,1239096.62,1510101.31,,1905780.18,2055946.29,2376845.64,2669005.92,3577079.48,3961300.43
AL,2703205,Igreja Nova,0.000166838,0.000449243,0.00204904,0.006224999,0.119811636,8.294707273,32.42077484,252.591108,10581.2855,138459.4,286933.93,276797.1899,624847.81,1033008.38,874965.97,1215444.34,1017038,1114168.2,1610238.24,2616248.78,2454546.35,3167216.58,3500680.83,4023341.08,3954411.59,5726950.62,5680744.81,4559069.29,6494672.99,8598412.51,7889433.73,7941829.72,8224124.5
AL,2703304,Inhapi,4.34E-05,0.00012625,0.000581889,0.0020846,0.036215709,2.578404327,19.25294604,167.5183144,4741.2383,144894.9,130065.65,217564.94,186809.73,,,321912.82,394429.53,423615.89,534640.75,539936.17,,,,,1225784.32,1488313.79,,,1963099.9,2216528.96,2342916.93,3358879.13,3570217.5
AL,2703403,Jacaré dos Homens,2.98E-05,8.33E-05,0.00030948,0.000796229,0.029317709,1.320561382,5.034208,77.73068749,3119.7312,56314.9,176891.25,158418.9898,,310885,253786,328257,394870,378681.02,493856.27,548627.07,592748.85,763943.28,798533.51,905605.98,980441.63,1203066.61,1490394.92,1500553.61,1504329.15,1572471.35,1534038.31,2191597.1,2600865.9
AL,2703502,Jacuípe,0.000271871,0.000790759,0.001903493,0.005482475,0,2.017919236,8.406628836,81.63869131,3809.2027,44259.7,0,0,194956.4,,,755839.65,1059873.21,589219.38,993239,516161.7,610882.32,713490.16,750604.36,888527.82,908866.14,1070588.53,1263194.33,1520479.61,1637310.36,1767214.73,1877862.56,2349034.77,2640157.5
AL,2703601,Japaratinga,9.01E-05,0.000267825,1.58E-05,0.002430459,0.0900004,8.592228473,33.97269695,139.3567903,5974.3735,54327.2,0,281526.89,404258.24,,,,409746,419601.11,509388.61,548367.41,,634238.65,771277.39,885770.04,815716.72,,,,1637703.72,1676654.14,1700220.21,,
AL,2703700,Jaramataia,1.07E-05,3.23E-05,0.000311579,0.000456428,0.022695855,1.060380036,4.215918255,54.7163364,2741.9913,47290.6,118349.84,93990.57,135858.13,,,208535,263146,304247.97,370260.92,447167.3,501363.22,646321.43,667186.36,819206.53,864251.9599,1031776.23,1104251.65,1216371.67,1303086.64,,,,2163481.01
AL,2703759,Jequiá da Praia,,,,,,,,,,,,,,,,,1146720,1354431.33,2275370.23,2868404.72,2701429.42,2943784.48,3571459.31,3885382.41,3289116,3583920.33,4126026.72,,6077555.1,10351317.52,10510196.89,11381671.3,12660776.7
AL,2703809,Joaquim Gomes,0.000395433,0.001106259,0.003508598,0.008724557,0.207875818,18.46226171,72.84418916,319.7569881,13285.6133,162175.3,351025.62,241708.78,277902.43,331759,394308,606668,612154,774806,881382,1185681.05,1247184.45,1076945.27,1078448.75,1198489.54,1224170.45,1443977.12,1618439.99,1881535.67,,1243675.91,2133358.38,,4019513.1
AL,2703908,Jundiá,0.000471867,0.001386065,0.003364439,0.008831039,0.0863568,3.453929455,13.43617771,134.1988267,5733.0577,55662.3,159545.2,205549.52,150677.42,266122,375195,434289,541355,456983.32,400608.47,467736.94,477869.68,627722.4,727918.13,898575.96,998252.11,1156546.63,1240426.6,1439055.02,1544460.57,1729821.02,1873192.96,2206688.43,2188649.94
AL,2704005,Junqueiro,0.000993718,0.002671981,0.006831563,0.009207644,0.332449855,13.14983265,50.05539425,571.65116,18834.3504,193401,461943.78,486202.9,456035.55,487072.26,544137.96,672099.54,599097.22,752084.02,1140361.92,1350427.42,1281716.27,1700693.64,2170870.84,2199463.57,1983564.18,2146417.93,2812174.38,3036292.31,3749645,,,,
AL,2704104,Lagoa da Canoa,0.000137358,0.000387869,0.001179352,0.002098151,0.0743352,2.808634946,10.78127229,109.5660728,6097.8423,76316.1,319391.47,372425.97,270725.85,260282.17,324593.35,343355.6,394254.92,465159.66,521640.29,621384.88,629225.63,738694.57,920209.68,999568.45,1010191.28,1221197.39,1419169,,1690527,1997329.32,2271893.96,2742103.77,2987650.9
