Sigla,Código,City,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL,2702306,Coruripe,0.003799694,0.011144813,0.035296438,0.08193587,1.694396691,141.27643,578.3910741,5146.083442,374352.1488,3113186.4,7389517.85,9139401.07,9867534.76,,,19960619.13,21658652,27276057.77,31488576.44,47053842.57,55195713.14,59550957.7,63040961.36,77011153.23,73010913.06,90594433.7,108732504.2,114787021.8,128270519.7,82599927.15,147769795,75796927.75,156350948
AL,2702355,Craíbas,0.000662075,0.002574952,0.00803278,0.048942649,0.748961273,27.91353171,145.7032439,1499.242778,93079.7705,876076.1,1732956.7,0,2362429.23,4267877.73,4411870,5912172.12,6732833.57,7696297.61,9073084.78,11588235,13101035,16725041,21406070.94,24207690.95,23368757.22,26335039.08,31910967.29,34514759.2,37307133,43473644.29,44112405.1,50908881.03,50745690
AL,2702405,Delmiro Gouveia,0.001433263,0.004498777,0.011919257,0.052201025,0.667457018,60.37673524,312.3657902,2901.964475,176472.3549,1757359.9,3039641,3429285.6,5731593.3,9495807,10956982,12746243,16961998,18267331.01,17069834.96,23833224.26,32873133.75,44939060.81,49198897.41,55832998.43,62071364.9,74489582.15,83965428.43,90758074.57,94931576.4,62021862.46,103912962.9,108336440,97247826
AL,2702504,Dois Riachos,0.00036169,0.001112097,,0.022880923,0.3711492,18.07868851,73.09143691,968.1181572,60607.6688,617866.7,1356760.09,1588772.55,,,,3687830.84,3904436.76,4961640.68,5337904.57,6084923.64,7342049.02,8665308.86,11180081.95,13457086.15,13575464.31,15701999.65,19238630.1,20819748.15,23162408.42,11647573.94,26648728.8,14890526.08,30352113
AL,2702553,Estrela de Alagoas,,,,,0,0,0,0,76752.3968,724560,1645625.14,2168009.2,2203950.97,3272564.38,3542022,3968935.45,4747166,6001179.6,7027214.69,8373626.77,10091534.22,11610671.77,14626747.53,16607569.03,19507187.51,21235244.19,25320694.51,26824343.86,30027886.51,16998796.88,33778338.22,21021920.97,37021268
AL,2702603,Feira Grande,0.000980663,0.003017874,0.00914563,0.05587673,0.823645455,35.0665056,162.261174,1872.311025,108156.3489,1049122.6,1981253.33,2489660.68,2735573.86,4439260,4655944,5542339,6300743,8178237.75,8511389.41,9852480.81,11513287.61,13314064.47,16106182.88,20727372.55,21535603.95,24683312.11,29715281.84,31884290.85,35177227,17047128.88,41084159.65,46416558.77,47031624
AL,2702702,Feliz Deserto,0.000387836,0.001196697,0.00355631,0.016607658,0.317574473,13.54606589,54.64461669,735.1681924,46736.9551,412365.3,859092.07,987875.59,1139952.68,1486580,1932648,2481927,2785662,3702386.89,4449081.18,5545940.25,7606034.13,8952681.57,9014483.64,10562259.82,10948013.48,11273617.91,13009073.08,13256490.32,14922812.85,11504110.44,16575041.2,13323760.54,17780393
AL,2702801,Flexeiras,0.001019449,0.003061846,0.007897906,0.036591776,0.554482873,30.98253709,129.1263116,1626.85499,119538.7349,960402.6,2031712.14,2307911.24,2650516.92,4000323,4220239,5216422,5844993,6682596,6950390,9295403,9328964,12511509,15056514,15848752.6,17751161,19119694.74,21668477.96,,,,,,
AL,2702900,Girau do Ponciano,0.000816292,0.003027367,0.009500016,0.046643978,1.034893236,38.43365865,316.0101333,2076.467986,130076.361,1294771.7,2481199.58,3043555.55,3384585.54,,,8393792.24,9182573.94,11542098.37,12669066.8,12603321.24,14957266.52,20695076.45,25537690.75,31442634.71,35830336.19,42629220.01,51665024.92,53325645.61,58952556,63326854.4,69107567.73,77902265.92,75728608
AL,2703007,Ibateguara,0.000640524,0.001874037,0.005388652,0.030297337,0.530680436,26.54802415,158.3811153,1349.217222,77699.1999,680642.7,0,2013803.67,2296830.78,,,3857477,4812031.67,6040730.07,6974391.82,8173556.44,10044570.85,12655277.37,11989944.61,15679471.22,17862559.63,21302956.87,24878283.36,26351399.16,27247006.31,14932641.95,32253375.96,18384695.05,35179149
